srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
175.45.176.0,1043,149.171.126.10,53,udp,INT,1.00E-06,114,0,254,0,0,0,dns,456000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424259328,1424259328,0.001,0,0,0,0,0,2,,, ,21,21,5,5,5,5,21,Generic,1
175.45.176.3,0,149.171.126.19,0,mfe-nsp,INT,9.00E-06,200,0,254,0,0,0,-,88888888,0,2,0,0,0,0,0,100,0,0,0,0,0,1424230227,1424230227,0.009,0,0,0,0,0,2,,, ,6,6,2,2,2,2,7,Exploits,1
59.166.0.2,38765,149.171.126.5,44952,tcp,FIN,0.011856,2334,16102,31,29,7,12,-,1531713.875,10579622,36,38,255,255,1611375931,3769082621,65,424,0,0,0,21.61618,1421967461,1421967461,0.329629,0.306595,0.000633,0.000509,0.000124,0,0,0,0,0,3,4,2,4,1,1,1,,0
59.166.0.2,22965,149.171.126.0,20327,udp,CON,0.001615,544,304,31,29,0,0,-,2021052.625,1129411.75,4,4,0,0,0,0,136,76,0,0,0.574407,0.304056,1424261266,1424261266,0.407667,0.218,0,0,0,0,0,,, ,10,9,6,4,1,1,5,,0
175.45.176.3,47439,149.171.126.15,53,udp,INT,8.00E-06,114,0,254,0,0,0,dns,57000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424245082,1424245082,0.008,0,0,0,0,0,2,,, ,7,7,7,7,7,7,7,Generic,1
175.45.176.0,0,149.171.126.17,0,unas,INT,7.00E-06,200,0,254,0,0,0,-,114285712,0,2,0,0,0,0,0,100,0,0,0,0,0,1424251682,1424251682,0.007,0,0,0,0,0,2,,, ,3,3,2,2,2,2,3,Exploits,1
59.166.0.9,42378,149.171.126.5,44685,tcp,FIN,0.008092,8928,320,31,29,4,1,ftp-data,8196737.5,263964.4063,14,6,255,255,3314619497,3327909583,638,53,0,0,38.170642,2.696918,1424249919,1424249919,0.622462,1.5064,0.000571,0.000442,0.000129,0,0,,, ,3,3,6,11,1,1,4,,0
59.166.0.9,64305,149.171.126.4,53,udp,CON,0.001074,146,178,31,29,0,0,dns,543761.625,662942.25,2,2,0,0,0,0,73,89,0,0,0,0,1421957384,1421957384,0.01,0.008,0,0,0,0,0,0,0,0,4,1,2,4,1,1,1,,0
59.166.0.8,25673,149.171.126.2,25,tcp,FIN,0.480757,37366,3380,31,29,18,8,smtp,609838.25,54913.39844,52,42,255,255,774430163,2920871657,719,80,0,0,772.849159,25.391182,1421962656,1421962657,9.420137,11.713146,0.000639,0.000513,0.000126,0,0,0,0,0,1,3,5,2,1,1,1,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,5.00E-06,114,0,254,0,0,0,dns,91200000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424252435,1424252435,0.005,0,0,0,0,0,2,,, ,34,34,34,34,34,18,34,Generic,1
175.45.176.1,1043,149.171.126.14,53,udp,INT,7.00E-06,114,0,254,0,0,0,dns,65142856,0,2,0,0,0,0,0,57,0,0,0,0,0,1424253189,1424253189,0.007,0,0,0,0,0,2,,, ,18,18,16,16,16,8,18,Generic,1
59.166.0.0,38138,149.171.126.2,80,tcp,FIN,1.004776,1580,10168,31,29,3,5,http,11536.89941,76466.79688,12,18,255,255,3118899862,970343304,132,565,1,3924,9529.014756,7675.502032,1424257599,1424257600,91.312274,59.071412,0.000694,0.000558,0.000136,0,0,1,, ,1,1,4,2,1,1,2,,0
59.166.0.8,36177,149.171.126.7,6881,tcp,FIN,0.473834,1540,1644,31,29,4,4,-,24379.8457,26220.15234,16,18,255,255,3147054076,1064391180,96,91,0,0,1994.70889,61.946281,1424254829,1424254830,33.822856,27.837646,0.000726,0.000585,0.000141,0,0,,, ,9,12,13,9,4,1,4,,0
59.166.0.6,22271,149.171.126.8,1640,tcp,FIN,0.019883,2854,30622,31,29,7,17,-,1123371.75,12064578,46,48,255,255,3142668495,3154417069,62,638,0,0,24.77263,24.916301,1421935920,1421935920,0.4342,0.411489,0.000812,0.00054,0.000272,0,0,0,0,0,2,8,1,2,1,1,1,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,2.00E-06,114,0,254,0,0,0,dns,228000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424237600,1424237600,0.002,0,0,0,0,0,2,,, ,45,45,43,44,43,23,45,Generic,1
175.45.176.3,1043,149.171.126.18,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424231346,1424231346,0.009,0,0,0,0,0,2,,, ,43,43,43,43,43,25,43,Generic,1
175.45.176.3,1043,149.171.126.18,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424231806,1424231806,0.009,0,0,0,0,0,2,,, ,34,34,16,19,16,16,34,Generic,1
59.166.0.9,29059,149.171.126.1,80,tcp,FIN,14.545883,19150,1072900,31,29,2,362,http,10503.04004,589276.3125,359,736,255,255,3093621394,3094610319,53,1458,1,524288,1953.669902,1298.745646,1421942871,1421942885,40.630043,19.789127,0.001,0.000869,0.000131,0,0,1,0,0,1,1,1,1,1,1,1,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,3.00E-06,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424253594,1424253594,0.003,0,0,0,0,0,2,,, ,33,33,18,18,18,18,33,Generic,1
175.45.176.1,4610,149.171.126.14,49482,tcp,FIN,0.722897,364,1618,62,252,1,2,ftp-data,3530.240234,15670.28223,8,8,255,255,2835282323,3313111425,46,202,0,0,6275.039611,166.292406,1424240327,1424240327,103.270998,89.88743,0.164754,0.092828,0.071926,0,1,,, ,1,1,1,21,1,1,1,Exploits,1
59.166.0.7,29499,149.171.126.7,53,udp,CON,0.001053,146,178,31,29,0,0,dns,554605.875,676163.375,2,2,0,0,0,0,73,89,0,0,0,0,1424248684,1424248684,0.005,0.002,0,0,0,0,0,,, ,1,3,4,2,1,1,2,,0
59.166.0.2,31776,149.171.126.8,53,udp,CON,0.000968,130,162,31,29,0,0,dns,537190.125,669421.5,2,2,0,0,0,0,65,81,0,0,0,0,1424248445,1424248445,0.006,0.005,0,0,0,0,0,,, ,1,2,2,6,1,1,2,,0
175.45.176.0,47439,149.171.126.10,53,udp,INT,7.00E-06,114,0,254,0,0,0,dns,65142856,0,2,0,0,0,0,0,57,0,0,0,0,0,1424261861,1424261861,0.007,0,0,0,0,0,2,,, ,21,21,16,16,16,16,21,Generic,1
175.45.176.1,0,149.171.126.11,0,ospf,INT,6.696556,10880,0,254,0,0,0,-,12672.78223,0,40,0,0,0,0,0,272,0,0,0,194.223172,0,1421929290,1421929297,171.706562,0,0,0,0,0,2,0,0,0,2,2,2,2,2,2,2, Fuzzers,1
59.166.0.9,53765,149.171.126.4,21366,tcp,FIN,0.011907,2230,13288,31,29,7,11,-,1454606.5,8679936,34,36,255,255,3628692195,3628969740,66,369,0,0,22.406039,21.530532,1424229471,1424229471,0.351212,0.334382,0.000666,0.000537,0.000129,0,0,,, ,5,6,3,2,1,1,1,,0
175.45.176.3,47439,149.171.126.15,53,udp,INT,1.00E-05,114,0,254,0,0,0,dns,45600000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424246306,1424246306,0.01,0,0,0,0,0,2,,, ,22,22,17,20,17,17,22,Generic,1
175.45.176.1,60986,149.171.126.11,53,udp,INT,1.00E-05,134,0,62,0,0,0,dns,53600000,0,2,0,0,0,0,0,67,0,0,0,0,0,1421931774,1421931774,0.01,0,0,0,0,0,2,0,0,0,10,6,2,3,2,2,2,Exploits,1
59.166.0.3,6451,149.171.126.9,48635,tcp,FIN,0.104198,4862,79882,31,29,7,36,-,368913.0313,6061843.5,84,86,255,255,1250661195,1269371931,58,929,0,0,81.767193,79.40662,1424229439,1424229439,1.251542,1.234345,0.000636,0.00051,0.000126,0,0,,, ,7,8,2,2,1,1,4,,0
175.45.176.1,62370,149.171.126.19,80,tcp,FIN,0.51241,810,268,254,252,2,1,http,11381.51172,3497.199707,10,6,255,255,1038682591,2688155744,81,45,1,0,2909.758686,138.022687,1424226017,1424226017,54.365667,84.392398,0.206336,0.090445,0.115891,0,1,1,, ,8,2,2,2,2,1,1, Reconnaissance ,1
59.166.0.8,28924,149.171.126.7,28453,tcp,FIN,0.052903,3598,48232,31,29,7,24,-,535168.125,7176152.5,60,62,255,255,514909110,2660577642,60,778,0,0,59.485337,58.836369,1421960025,1421960025,0.890949,0.857541,0.000742,0.000586,0.000156,0,0,0,0,0,11,5,3,5,2,1,1,,0
59.166.0.9,32345,149.171.126.2,53,udp,CON,0.001007,130,162,31,29,0,0,dns,516385.3125,643495.5625,2,2,0,0,0,0,65,81,0,0,0,0,1424246521,1424246521,0.008,0.007,0,0,0,0,0,,, ,3,1,6,11,3,1,5,,0
175.45.176.3,47439,149.171.126.15,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424246379,1424246379,0.009,0,0,0,0,0,2,,, ,36,36,13,13,13,13,36,Generic,1
175.45.176.3,1043,149.171.126.15,53,udp,INT,3.00E-06,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424247172,1424247172,0.003,0,0,0,0,0,2,,, ,22,22,22,22,22,22,22,Generic,1
59.166.0.2,59604,149.171.126.9,25,tcp,FIN,0.02754,37288,3380,31,29,18,8,smtp,10623384,958605.6875,52,42,255,255,99143272,2245624380,717,80,0,0,30.466422,1.369367,1421945081,1421945081,0.533098,0.659268,0.00064,0.000503,0.000137,0,0,0,0,0,2,1,9,4,3,3,3,,0
59.166.0.1,51392,149.171.126.7,21,tcp,FIN,0.913591,2934,3742,31,29,11,15,ftp,25201.64844,32163.1875,52,54,255,255,3240193635,3345004575,56,69,0,0,1421.359536,52.426063,1424224503,1424224504,17.907274,17.227189,0.000708,0.000547,0.000161,0,0,,1,1,1,1,4,5,1,1,5,,0
59.166.0.9,48413,149.171.126.7,53,udp,CON,0.001073,146,178,31,29,0,0,dns,544268.375,663560.125,2,2,0,0,0,0,73,89,0,0,0,0,1421961977,1421961977,0.012,0.008,0,0,0,0,0,0,0,0,2,1,4,2,1,1,1,,0
59.166.0.9,43904,149.171.126.0,34484,tcp,FIN,0.226412,8928,320,31,29,4,1,ftp-data,292952.6875,9434.128906,14,6,255,255,3180925534,3486268143,638,53,0,0,1609.895778,69.038773,1424249658,1424249658,17.416308,45.158199,0.001478,0.000444,0.001034,0,0,,, ,3,3,5,3,1,1,5,,0
149.171.126.18,1043,175.45.176.1,53,udp,INT,9.00E-06,264,0,60,0,0,0,dns,117333328,0,2,0,0,0,0,0,132,0,0,0,0,0,1424237682,1424237682,0.009,0,0,0,0,0,0,,, ,26,26,13,13,13,13,26,,0
59.166.0.3,33012,149.171.126.3,5190,tcp,FIN,0.005842,1920,4312,31,29,6,6,-,2510099.5,5659706,22,24,255,255,4169135179,2019855402,87,180,0,0,16.771157,13.089009,1424260389,1424260389,0.2738,0.226435,0.000769,0.000626,0.000143,0,0,,, ,1,7,5,6,1,1,1,,0
175.45.176.2,0,149.171.126.17,0,xtp,INT,9.00E-06,200,0,254,0,0,0,-,88888888,0,2,0,0,0,0,0,100,0,0,0,0,0,1424258780,1424258780,0.009,0,0,0,0,0,2,,, ,3,3,1,2,1,1,3,DoS,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,5.00E-06,114,0,254,0,0,0,dns,91200000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424239965,1424239965,0.005,0,0,0,0,0,2,,, ,41,41,24,24,24,24,41,Generic,1
59.166.0.9,26537,149.171.126.1,24466,tcp,FIN,0.021958,2958,31788,31,29,7,18,-,1055469.625,11350032,48,50,255,255,2193514922,2209336254,62,636,0,0,0,26.686116,1421941205,1421941205,0.460426,0.437184,0.000685,0.000533,0.000152,0,0,0,0,0,6,6,3,4,1,1,1,,0
59.166.0.1,32662,149.171.126.5,57729,udp,CON,0.001638,536,304,31,29,0,0,-,1963370,1113553.125,4,4,0,0,0,0,134,76,0,0,0.59727,0.263519,1424228489,1424228489,0.427333,0.190333,0,0,0,0,0,,, ,5,9,3,2,1,1,5,,0
175.45.176.3,1043,149.171.126.18,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424231372,1424231372,0.009,0,0,0,0,0,2,,, ,35,35,17,17,17,17,35,Generic,1
59.166.0.5,41862,149.171.126.2,6881,tcp,FIN,24.901434,37906,1641360,31,29,55,583,-,12160.26367,526901.6875,682,1278,255,255,2654906947,537519040,56,1284,0,0,16798.94127,12263.82995,1424245232,1424245257,36.565443,19.530142,0.000603,0.000476,0.000127,0,0,,, ,5,4,2,3,1,1,2,,0
59.166.0.9,8068,149.171.126.7,44015,tcp,FIN,0.026583,3926,56628,31,29,7,27,-,1163751.25,16791484,66,68,255,255,2662111624,523255230,59,833,0,0,0,20.742069,1424240791,1424240791,0.41481,0.394303,0.000696,0.000556,0.00014,0,0,,, ,5,14,3,2,1,1,4,,0
59.166.0.5,24169,149.171.126.8,111,udp,CON,0.246414,568,320,31,29,0,0,-,13830.38281,7791.765137,4,4,0,0,0,0,142,80,0,0,109.373156,108.895859,1421939315,1421939315,77.344,77.007,0,0,0,0,0,0,0,0,4,4,2,3,1,1,2,,0
59.166.0.5,3878,149.171.126.3,64396,tcp,FIN,0.226154,424,8824,31,29,1,4,ftp-data,13123.80078,286141.3125,8,12,255,255,2977860053,1313018349,53,735,0,0,2196.982105,1743.50314,1421969519,1421969519,32.255429,20.517909,0.001434,0.000452,0.000982,0,0,0,0,0,1,4,6,2,1,1,2,,0
149.171.126.15,1043,175.45.176.3,53,udp,INT,4.00E-06,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424247286,1424247286,0.004,0,0,0,0,0,0,,, ,32,32,32,32,32,17,32,,0
175.45.176.1,47439,149.171.126.18,53,udp,INT,8.00E-06,114,0,254,0,0,0,dns,57000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424238923,1424238923,0.008,0,0,0,0,0,2,,, ,35,35,20,20,20,20,35,Generic,1
59.166.0.8,22387,149.171.126.9,20120,tcp,FIN,0.016975,2438,19242,31,29,7,13,-,1118821.75,8841708,38,40,255,255,4039201053,4051478209,64,481,0,0,0,33.098951,1421944465,1421944465,0.449946,0.420846,0.00074,0.000558,0.000182,0,0,0,0,0,12,4,2,5,1,1,1,,0
59.166.0.0,52032,149.171.126.0,143,tcp,FIN,0.035084,7812,14706,31,29,30,32,-,1766731.125,3326872.5,122,126,255,255,3193434410,1049024993,64,117,0,0,19.240421,0.423086,1424239263,1424239263,0.299172,0.276424,0.00066,0.000527,0.000133,0,0,,, ,1,1,1,3,1,1,1,,0
59.166.0.9,12896,149.171.126.7,42116,udp,CON,0.001754,536,304,31,29,0,0,-,1833523.375,1039908.813,4,4,0,0,0,0,134,76,0,0,0.630268,0.310893,1421949208,1421949208,0.450667,0.226333,0,0,0,0,0,0,0,0,13,9,3,8,1,1,3,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424253735,1424253735,0.009,0,0,0,0,0,2,,, ,21,21,16,16,16,16,21,Generic,1
175.45.176.3,1043,149.171.126.18,53,udp,INT,3.00E-06,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424233126,1424233126,0.003,0,0,0,0,0,2,,, ,32,32,16,17,16,16,32,Generic,1
59.166.0.7,52260,149.171.126.4,50222,tcp,FIN,0.02524,3614,45422,31,29,7,24,-,1126465.875,14164818,60,62,255,255,3880581560,3897112947,60,733,0,0,0,20.768608,1421966656,1421966656,0.43614,0.388262,0.001736,0.001552,0.000184,0,0,0,0,0,7,1,4,3,1,1,1,,0
175.45.176.1,0,149.171.126.10,0,xnet,INT,3.00E-06,180,0,254,0,0,0,-,239999984,0,2,0,0,0,0,0,90,0,0,0,0,0,1424237259,1424237259,0.003,0,0,0,0,0,2,,, ,10,10,11,10,10,10,10,Analysis,1
175.45.176.1,9100,149.171.126.15,524,tcp,FIN,0.604008,1614,268,254,252,3,1,-,19602.38867,2966.848145,12,6,255,255,3816441709,3550216086,135,45,0,0,2829.414844,155.134906,1424240545,1424240545,52.364183,94.663602,0.230407,0.130685,0.099722,0,1,,, ,1,2,1,1,1,1,1,Exploits,1
59.166.0.8,9368,149.171.126.4,53,udp,CON,0.001123,146,178,31,29,0,0,dns,520035.5938,634016,2,2,0,0,0,0,73,89,0,0,0,0,1424242879,1424242879,0.01,0.002,0,0,0,0,0,,, ,2,7,5,3,1,1,1,,0
175.45.176.3,47439,149.171.126.18,53,udp,INT,5.00E-06,114,0,254,0,0,0,dns,91200000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424230319,1424230319,0.005,0,0,0,0,0,2,,, ,2,2,2,3,2,2,2,Generic,1
59.166.0.9,6828,149.171.126.3,6881,tcp,FIN,0.780905,1540,1644,31,29,4,4,-,14793.09277,15909.74512,16,18,255,255,3606877504,1575830127,96,91,0,0,3029.924605,89.498922,1421948509,1421948510,52.037533,45.901176,0.000709,0.000582,0.000127,0,0,0,0,0,10,10,8,10,5,1,6,,0
175.45.176.2,0,149.171.126.17,0,unas,INT,8.00E-06,200,0,254,0,0,0,-,100000000,0,2,0,0,0,0,0,100,0,0,0,0,0,1424258906,1424258906,0.008,0,0,0,0,0,2,,, ,5,5,2,3,2,2,5,Exploits,1
175.45.176.3,47439,149.171.126.18,53,udp,INT,5.00E-06,114,0,254,0,0,0,dns,91200000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424232135,1424232135,0.005,0,0,0,0,0,2,,, ,33,33,33,33,33,14,33,Generic,1
175.45.176.0,0,149.171.126.17,0,vmtp,INT,7.00E-06,200,0,254,0,0,0,-,114285712,0,2,0,0,0,0,0,100,0,0,0,0,0,1424251627,1424251627,0.007,0,0,0,0,0,2,,, ,5,5,3,3,3,3,5,DoS,1
59.166.0.8,9137,149.171.126.1,53,udp,CON,0.001226,146,178,31,29,0,0,dns,476345.8438,580750.375,2,2,0,0,0,0,73,89,0,0,0,0,1421936880,1421936880,0.011,0.008,0,0,0,0,0,0,0,0,3,2,4,2,1,1,1,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,5.00E-06,114,0,254,0,0,0,dns,91200000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424238488,1424238488,0.005,0,0,0,0,0,2,,, ,29,29,22,22,22,13,29,Generic,1
149.171.126.15,1043,175.45.176.3,53,udp,INT,4.00E-06,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424245890,1424245890,0.004,0,0,0,0,0,0,,, ,49,49,39,39,39,19,49,,0
149.171.126.15,1043,175.45.176.3,53,udp,INT,2.00E-06,264,0,60,0,0,0,dns,528000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424246488,1424246488,0.002,0,0,0,0,0,0,,, ,32,32,23,23,23,23,32,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,3.00E-06,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424239453,1424239453,0.003,0,0,0,0,0,2,,, ,42,42,24,24,24,24,42,Generic,1
175.45.176.0,0,149.171.126.13,0,unas,INT,7.00E-06,200,0,254,0,0,0,-,114285712,0,2,0,0,0,0,0,100,0,0,0,0,0,1424223288,1424223288,0.007,0,0,0,0,0,2,,, ,9,9,4,13,4,4,9,DoS,1
175.45.176.1,1043,149.171.126.14,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424255209,1424255209,0.009,0,0,0,0,0,2,,, ,34,34,16,16,16,16,34,Generic,1
175.45.176.3,1043,149.171.126.18,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424232937,1424232937,0.009,0,0,0,0,0,2,,, ,22,22,22,23,22,22,22,Generic,1
59.166.0.6,36934,149.171.126.5,80,tcp,FIN,0.025154,1038,820,31,29,2,2,http,289099.1563,234714.1563,8,10,255,255,1922938331,4084890493,130,82,1,81,235.409217,5.610264,1424254562,1424254562,3.543428,3.0815,0.000746,0.0005,0.000246,0,0,1,, ,1,1,4,10,1,1,5,,0
59.166.0.9,65212,149.171.126.8,63232,tcp,FIN,0.091019,3390,44906,31,29,7,22,-,292686.1563,3878926.5,56,58,255,255,1419103410,3593030562,61,774,0,0,88.231654,86.759694,1424261383,1424261383,1.648491,1.587684,0.000652,0.000518,0.000134,0,0,,, ,8,4,1,3,1,1,2,,0
59.166.0.2,4267,149.171.126.4,6881,tcp,FIN,1.436197,4934,155418,31,29,9,58,-,27132.76758,859358.375,78,136,255,255,1080396679,1104098415,63,1143,0,0,4239.730412,3206.498828,1424236493,1424236494,18.647754,10.634874,0.000609,0.00048,0.000129,0,0,,, ,11,9,3,5,3,1,8,,0
59.166.0.0,15049,149.171.126.4,53,udp,CON,0.001054,146,178,31,29,0,0,dns,554079.6875,675521.8125,2,2,0,0,0,0,73,89,0,0,0,0,1424239321,1424239321,0.005,0.007,0,0,0,0,0,,, ,2,2,3,2,2,1,1,,0
175.45.176.1,0,149.171.126.17,0,ospf,INT,25.422068,12832,0,254,0,0,0,-,3893.939697,0,28,0,0,0,0,0,458,0,0,0,1044.050375,0,1424238233,1424238258,941.55825,0,0,0,0,0,2,,, ,1,1,3,2,1,1,2, Reconnaissance ,1
59.166.0.4,42359,149.171.126.3,25,tcp,FIN,0.457643,37268,3276,31,29,18,8,smtp,638960.9375,55851.39453,52,40,255,255,4093186764,4090101882,717,82,0,0,902.11281,30.444555,1424230084,1424230085,9.14542,11.719923,0.000714,0.000562,0.000152,0,0,,, ,1,3,1,3,1,1,1,,0
59.166.0.5,2809,149.171.126.3,46377,tcp,FIN,0.022874,3302,37798,31,29,7,21,-,1133514,12983825,54,56,255,255,2476113588,2476436979,61,675,0,0,24.364055,23.515062,1424230547,1424230547,0.433788,0.404127,0.000773,0.000638,0.000135,0,0,,, ,2,2,1,3,1,1,1,,0
59.166.0.8,15734,149.171.126.3,25,tcp,FIN,0.02602,37168,3380,31,29,18,8,smtp,11207994,1014604.188,52,42,255,255,2658645764,2655680405,715,80,0,0,29.20054,1.310107,1424259732,1424259732,0.51362,0.63695,0.000676,0.000537,0.000139,0,0,,, ,2,1,2,2,1,1,1,,0
59.166.0.0,9120,149.171.126.2,7088,tcp,FIN,0.008766,2230,14370,31,29,7,11,-,1975815.625,12750171,34,36,255,255,1768529293,1779098436,66,399,0,0,0,13.888873,1421956989,1421956989,0.255091,0.235143,0.000675,0.000532,0.000143,0,0,0,0,0,9,5,2,2,1,1,1,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424253021,1424253021,0.009,0,0,0,0,0,2,,, ,33,33,18,17,17,17,34,Generic,1
59.166.0.0,59526,149.171.126.7,15554,tcp,FIN,0.004415,8928,320,31,29,4,1,ftp-data,15023330,483805.2188,14,6,255,255,3709685621,3720391550,638,53,0,0,17.484119,1.22865,1424241179,1424241179,0.339615,0.7586,0.00063,0.000499,0.000131,0,0,,, ,3,3,5,7,1,1,6,,0
175.45.176.1,20325,149.171.126.13,111,udp,INT,5.00E-06,168,0,254,0,0,0,-,134400000,0,2,0,0,0,0,0,84,0,0,0,0,0,1424226730,1424226730,0.005,0,0,0,0,0,2,,, ,1,1,1,1,1,1,1, Reconnaissance ,1
149.171.126.10,47439,175.45.176.0,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424260519,1424260519,0.005,0,0,0,0,0,0,,, ,22,22,19,19,19,19,22,,0
175.45.176.1,0,149.171.126.17,0,l2tp,INT,6.00E-06,200,0,254,0,0,0,-,133333328,0,2,0,0,0,0,0,100,0,0,0,0,0,1424244402,1424244402,0.006,0,0,0,0,0,2,,, ,5,5,5,5,4,4,8,Exploits,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,3.00E-06,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424240556,1424240556,0.003,0,0,0,0,0,2,,, ,36,36,15,15,15,15,36,Generic,1
59.166.0.9,62653,149.171.126.3,6881,tcp,FIN,0.35488,1540,1644,31,29,4,4,-,32551.84766,35009.01563,16,18,255,255,3458646884,1341702134,96,91,0,0,1460.128318,35.76441,1421969690,1421969691,23.637133,20.847412,0.000596,0.000471,0.000125,0,0,0,0,0,10,4,5,8,4,1,5,,0
175.45.176.3,1043,149.171.126.18,53,udp,INT,3.30E-05,114,0,254,0,0,0,dns,13818182,0,2,0,0,0,0,0,57,0,0,0,0,0,1424231962,1424231962,0.033,0,0,0,0,0,2,,, ,31,31,24,24,24,24,31,Generic,1
175.45.176.2,0,149.171.126.17,0,unas,INT,8.00E-06,200,0,254,0,0,0,-,100000000,0,2,0,0,0,0,0,100,0,0,0,0,0,1424258857,1424258857,0.008,0,0,0,0,0,2,,, ,6,6,2,3,2,2,6,DoS,1
175.45.176.0,1043,149.171.126.10,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424260393,1424260393,0.009,0,0,0,0,0,2,,, ,26,26,17,18,17,17,26,Generic,1
59.166.0.2,29321,149.171.126.6,63238,tcp,FIN,0.002742,320,1884,31,29,1,2,ftp-data,778993.4375,4811087,6,8,255,255,493907279,497553723,53,236,0,0,26.492448,0.498199,1424260791,1424260791,0.485,0.315714,0.000661,0.000529,0.000132,0,0,,, ,3,3,7,9,1,1,4,,0
59.166.0.2,16725,149.171.126.2,22549,tcp,FIN,0.068938,3926,56716,31,29,7,27,-,448751.0313,6484899.5,66,68,255,255,1868412067,4014081484,59,834,0,0,67.788053,65.191798,1421971739,1421971739,1.055492,1.019612,0.000768,0.000612,0.000156,0,0,0,0,0,8,8,1,3,1,1,1,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424252769,1424252769,0.009,0,0,0,0,0,2,,, ,18,18,16,16,16,16,18,Generic,1
175.45.176.0,8883,149.171.126.18,179,tcp,FIN,0.475267,508,354,254,252,2,1,-,7709.351074,5218.119629,10,8,255,255,695390111,2230478370,51,44,0,0,3465.091928,126.121016,1421929568,1421929569,51.125556,61.70857,0.089544,0.043304,0.04624,0,1,0,0,0,9,10,2,2,2,1,2, Fuzzers,1
59.166.0.9,53915,149.171.126.3,30212,tcp,FIN,0.01389,2646,25564,31,29,7,15,-,1487689,14389057,42,44,255,255,3340892250,3344851205,63,581,0,0,0,18.902347,1421958144,1421958144,0.330927,0.310326,0.000698,0.000542,0.000156,0,0,0,0,0,3,8,2,2,1,1,1,,0
